FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c0,5179789,POINT (16.339083053890185 48.189476975528365),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c1,5179790,POINT (16.318509248220597 48.24554860836681),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c2,5179791,POINT (16.2447636087067 48.207728279947574),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c3,5179792,POINT (16.429059267047794 48.16519098081323),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c4,5179793,POINT (16.42579152721171 48.16725034938614),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c5,5179794,POINT (16.438427155758955 48.26973978158712),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c6,5179795,POINT (16.448687425473786 48.269351249793),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c7,5179796,POINT (16.43057679184797 48.16799137301016),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c8,5179797,POINT (16.43051928671411 48.168059967665926),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5c9,5179798,POINT (16.39405978288134 48.21893492205047),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5ca,5179799,POINT (16.396114384645593 48.219131038509296),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5cb,5179800,POINT (16.396182848497457 48.21970918285791),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5cc,5179801,POINT (16.39429630642896 48.219447490838995),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5cd,5179758,POINT (16.382558487588664 48.27757253375447),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5ce,5179802,POINT (16.39415936561058 48.219250849148004),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5cf,5179803,POINT (16.372557309955486 48.21807079585524),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d0,5179804,POINT (16.251623207378326 48.20202541434738),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d1,5179805,POINT (16.248625530277252 48.20283940992817),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d2,5179806,POINT (16.249893181713027 48.20227886018761),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d3,5179807,POINT (16.3533273811126 48.25835108884183),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d4,5179808,POINT (16.347777063163512 48.249679446237316),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d5,5179809,POINT (16.33859261409522 48.198928152522974),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d6,5179810,POINT (16.33788056109759 48.20066789511177),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d7,5179811,POINT (16.452271302208896 48.23072595925555),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d8,5179812,POINT (16.393239301230174 48.201760772841595),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5d9,5179813,POINT (16.35429114188918 48.20375262762712),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5da,5179814,POINT (16.352683484182 48.22981988247928),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5db,5179815,POINT (16.35252118342486 48.22972455964014),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5dc,5179816,POINT (16.404521888334596 48.224278780816334),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5dd,5179817,POINT (16.414630977680865 48.21478213937537),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5de,5179818,POINT (16.405171883881284 48.21680318798679),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5df,5179819,POINT (16.45161131630269 48.224240251426025),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e0,5179820,POINT (16.392054943352157 48.19178450736431),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e1,5179821,POINT (16.3936259602197 48.1900733776051),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e2,5179822,POINT (16.31468117962156 48.20670114235973),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e3,5179823,POINT (16.314305023277925 48.20641970040978),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e4,5179824,POINT (16.315159671742872 48.20637687149163),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e5,5179825,POINT (16.34821315104002 48.19516823815126),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e6,5179826,POINT (16.294888957607608 48.230582439952805),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e7,5179827,POINT (16.403110635129917 48.188000289565615),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e8,5179828,POINT (16.37643268110009 48.1985658532111),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5e9,5179829,POINT (16.376101156643355 48.19837131152923),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5ea,5179830,POINT (16.333122543700107 48.18940556579417),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_5eb,5179831,POINT (16.312903988463045 48.24998691326899),Trinkbrunnen mit Tränke,5,
